Locality,9,10,11,12,13,14,Average
Emporia,-0.2,9.6,9.1,7.5,6.3,5.4,6.3
Greensville County,-0.2,0.8,4.1,3.7,3.3,2.6,2.4
Bath County,1.8,0.5,2.7,2.9,2.1,1.6,1.9
Augusta County,10.0,0.1,0.0,0.1,0.1,0.3,1.8
Giles County,1.9,-0.1,-0.1,0.6,3.0,4.0,1.6
Washington County,1.4,4.7,0.4,0.0,0.2,1.1,1.3
Cumberland County,-0.2,-0.1,1.9,3.6,1.9,0.4,1.2
Charles City County,-0.2,-0.2,0.4,2.2,2.8,1.6,1.1
Danville,2.1,1.8,0.2,0.1,0.9,1.3,1.1
Buena Vista,-0.2,0.6,2.1,0.2,1.6,1.8,1.0
Northumberland County,-0.2,-0.2,0.5,2.3,2.0,1.4,1.0
