court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
King William County,0,287770,113634,0,0,0,0,0,0,0,0,1,3,3,21,19,25,21,24,15,25,34,17,65
Clarke County,0,663181,123119,0,0,0,0,0,0,0,0,0,1,0,4,11,3,147,120,77,73,149,42,137
Loudoun County,0,4079953,3039080,0,0,0,0,1,0,2,1,100,37,50,120,197,211,480,322,268,227,359,188,706
Chesterfield County,1395375,4591738,2755060,0,0,0,0,0,0,2,1,3,30,15,62,207,240,934,568,500,282,411,224,605
Lee County,0,440653,119391,0,0,0,0,0,0,0,0,0,1,7,8,13,19,33,15,12,13,17,2,10
Winchester,4549,152379,235181,0,0,0,0,1,1,0,2,37,10,8,14,22,43,60,42,36,20,42,4,13
Fredericksburg,438284,381868,135118,0,0,0,0,1,0,0,0,8,14,0,8,57,145,257,124,107,55,133,23,77
Galax,0,86558,59087,0,0,0,0,0,0,0,0,7,0,0,0,0,3,68,53,31,24,35,27,87
Alexandria,777421,750971,528057,3,0,0,1,21,4,14,20,441,138,88,144,280,316,1000,654,655,537,860,327,451
Franklin,0,19649,63563,0,0,0,0,0,0,2,5,1,7,10,45,32,45,30,25,20,3,5,4,17
Colonial Heights,353985,120906,127507,0,0,0,0,0,0,0,0,0,22,43,70,161,157,158,116,122,82,75,68,179
Fairfax County,9448432,9070873,8367192,0,0,1,1,6,2,4,1,102,131,50,147,597,864,2717,1882,1669,1313,1608,1103,3018
Stafford County,2128865,930943,1255527,0,0,0,0,0,0,0,0,3,15,6,3,13,42,200,132,142,114,152,118,323
Montgomery County,1191823,1125352,730562,0,0,0,0,1,0,0,1,9,10,17,57,162,183,516,368,353,257,270,130,348
Emporia,67163,93921,40035,0,0,0,0,0,0,0,0,0,47,31,53,50,38,26,28,6,6,16,14,4
Southampton County,0,715369,255243,0,0,0,0,0,0,0,0,240,9,22,61,78,126,201,111,120,66,87,38,161
Essex County,0,309819,99656,0,0,0,0,0,0,0,0,0,5,4,24,41,34,97,77,34,23,31,9,51
Smyth County,666285,238414,231122,0,0,0,0,1,0,0,0,14,19,15,20,26,22,40,17,21,21,27,3,25
Dickenson County,0,173523,146452,0,0,0,0,0,0,0,1,6,5,2,4,10,11,31,20,18,11,17,8,12
Shenandoah County,1575257,427973,259792,0,0,0,0,0,0,0,0,4,9,12,27,49,38,103,51,38,21,51,33,79
Dinwiddie County,670806,408106,289226,0,0,0,0,0,0,0,0,3,6,36,72,75,47,41,24,29,23,24,9,30
Norfolk,2516551,1917295,987987,0,0,0,1,3,0,5,6,21,97,80,111,148,188,967,742,806,694,661,680,2285
Petersburg,527776,308238,263701,0,0,0,0,0,0,1,0,0,1,6,19,36,42,190,243,258,201,202,135,393
Sussex County,632118,313304,96681,0,0,0,0,0,1,0,0,4,9,16,139,95,128,301,351,189,244,318,95,487
Surry County,0,118109,57708,0,0,0,0,0,0,0,0,0,1,3,47,37,33,32,14,24,3,8,3,2
Warren County,552960,455430,257706,0,0,0,0,0,0,2,0,20,9,0,7,8,30,222,56,60,53,148,45,171
Hampton,1686705,836498,1194589,0,0,1,0,3,0,6,3,13,152,704,826,838,655,604,421,342,250,166,98,231
Tazewell County,0,768051,259997,0,0,0,0,1,0,0,0,9,59,10,32,79,85,354,103,90,52,106,3,28
Richmond,1804530,1692238,1556805,0,0,0,0,1,0,1,2,0,5,6,30,72,90,833,586,571,492,659,202,495
Fauquier County,896186,1962817,724000,0,0,0,0,0,0,0,1,0,2,4,4,6,13,49,68,52,39,102,27,89
Floyd County,0,220772,139505,0,0,0,0,0,0,0,0,0,0,1,7,6,21,49,28,28,22,23,1,12
Radford,0,82653,120356,0,0,0,0,0,0,3,0,2,4,5,15,20,22,48,33,27,18,8,22,33
Fluvanna County,53536,248051,191137,0,0,0,0,0,0,0,0,0,12,2,2,4,4,12,11,6,9,19,6,60
Franklin County,0,924267,620851,0,0,0,0,0,0,0,0,0,3,0,0,6,14,96,53,44,28,46,34,105
Frederick County,1275740,1280389,602132,0,0,0,0,0,0,1,2,32,116,63,73,76,109,319,82,78,56,123,49,84
Scott County,0,542631,186321,0,0,0,0,0,0,0,0,1,2,5,16,29,31,34,15,17,14,26,4,9
Rockingham County / Harrisonburg,1343106,1407605,838513,0,0,0,0,1,1,1,3,15,38,36,60,215,200,793,523,440,344,519,206,464
Russell County,0,612641,177367,0,0,0,0,0,0,0,0,0,2,1,1,5,1,10,12,5,5,14,4,24
Roanoke County,995847,932222,527716,0,0,0,0,0,0,0,1,20,42,55,208,409,377,534,281,222,137,116,84,94
Rockbridge County / Lexington,1446251,395196,198479,0,0,0,0,0,0,0,0,2,14,13,30,66,38,86,48,35,19,50,11,51
Portsmouth,298816,786686,486508,2,0,0,0,0,0,1,0,1,12,27,54,142,161,222,205,160,111,146,92,297
Grayson County,0,211098,105371,0,0,0,0,0,0,0,0,0,1,0,0,4,1,7,4,4,1,4,1,1
Prince William County,3201795,3153209,3428366,0,0,0,0,0,0,3,2,6,48,26,120,289,568,2251,1634,1586,1246,1319,872,2401
Goochland County,863133,605966,248307,0,0,0,0,0,0,0,0,0,11,13,23,30,43,43,18,17,10,9,4,7
Pulaski County,720866,386594,302898,0,0,0,0,0,0,0,0,3,20,12,31,155,126,229,105,109,65,124,13,16
Gloucester County,0,787188,240067,0,0,0,0,0,0,1,0,0,1,2,12,2,9,29,12,14,10,8,5,25
Rappahannock County,0,192326,60109,0,0,0,0,0,0,0,0,0,0,0,1,3,1,38,16,20,13,110,2,23
Giles County,0,456414,83715,0,0,0,0,0,0,0,0,9,2,7,9,37,37,117,62,71,58,105,32,151
Richmond County,0,251447,65991,0,0,0,0,0,0,0,1,0,1,3,15,38,33,59,25,22,25,14,7,19
Chesapeake,1909833,2485360,1887070,0,0,0,1,0,0,3,8,19,615,902,1359,1671,1141,1235,840,725,439,402,263,1132
Greene County,0,329411,117724,0,0,0,0,1,0,0,0,0,0,2,9,10,18,31,26,32,13,28,31,51
Fairfax,0,362857,115905,0,0,0,0,0,0,0,0,1,0,0,5,34,92,530,559,529,457,410,413,884
Middlesex County,0,274969,67126,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,6,6,0,4,0,0
