court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
King George County,0,780087,91893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland County,0,50759,22141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Wight County,0,834397,354506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King & Queen County,0,219301,68309,0,0,0,0,0,0,0,0,0,4,13,105,148,80,71,40,19,25,17,10,23
Northumberland County,0,194853,107435,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,1
Appomattox County,0,330339,137053,0,0,0,0,0,0,1,10,3,33,20,39,103,83,80,111,49,58,57,31,70
Northampton County,0,655714,91097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington County,1404447,1673086,1213450,0,0,0,0,0,0,0,0,2,1,2,1,0,1,5,7,2,6,11,6,45
Orange County,0,605972,204625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusta County,1952156,920406,612380,0,0,0,0,1,0,0,0,149,10,15,29,74,129,178,21,22,30,22,22,29
Nottoway County,0,379926,197286,0,0,0,0,0,1,0,0,0,11,39,147,185,96,69,83,32,25,40,13,40
Bath County,0,90266,43278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford County / Bedford,0,1212475,648261,0,1,0,0,0,0,1,2,6,24,25,69,114,101,111,111,42,45,54,24,55
Page County,0,327732,142457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville,0,109019,126378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newport News,1719617,1590411,1055448,0,0,0,0,0,0,1,0,1,9,1,17,32,60,126,187,265,289,488,313,1063
Charlottesville,6336,292199,294572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Beach,1833171,2056113,3670950,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2
Hopewell,109483,148864,132159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunswick County,461134,354334,208045,0,0,0,0,0,0,0,0,0,0,2,9,11,19,61,75,44,51,70,18,63
Buchanan County,0,323191,276911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bland County,601994,65443,67433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson County,46611,563293,94483,0,0,0,0,0,0,0,2,30,20,9,50,185,217,181,123,73,54,139,25,82
Botetourt County,1079806,658834,232508,0,0,0,0,0,0,0,0,27,16,18,46,106,219,151,198,165,185,648,159,429
New Kent County,1263526,373078,106761,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Buckingham County,0,300681,140677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buena Vista,0,34371,24346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waynesboro,110826,147868,148661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Danville,0,694707,251531,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,1,1,1,2
York County / Poquoson,750135,1032260,456107,0,0,0,0,0,0,0,0,0,1,0,5,15,47,164,34,39,38,29,22,54
Wise County / Norton,0,827010,344125,0,0,0,0,0,0,0,1,5,59,53,53,71,48,21,34,22,21,41,11,13
Wythe County,1537890,324610,231281,0,0,0,0,0,0,0,0,788,107,113,352,597,1293,1529,7,9,14,27,72,420
Washington County,1040331,589109,419837,0,0,0,0,0,0,0,0,2,53,11,44,65,105,178,118,126,139,143,36,68
Westmoreland County,0,265125,132365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathews County,0,144023,43023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotsylvania County,1271547,1245574,1131934,0,0,0,0,0,0,0,0,0,1,0,2,0,11,267,7,11,17,33,37,283
Mecklenburg County,478335,626531,373701,0,0,0,0,0,0,0,0,0,59,22,59,72,63,47,47,31,19,30,16,60
Lunenburg County,0,149061,112361,0,0,0,0,0,0,0,0,0,10,20,30,43,25,22,23,14,12,7,1,7
Madison County,0,416808,91678,0,0,0,0,0,0,0,2,7,5,2,24,59,170,324,325,294,207,388,102,374
Caroline County,1482355,595460,550987,0,0,0,0,0,0,0,0,0,2,6,6,14,12,5,7,5,3,4,0,3
