court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Campbell County,0,1133699,526941,0,0,0,0,0,0,0,3,7,33,58,73,124,107,120,51,30,28,42,15,67
Charles City County,0,103995,70699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte County,0,257810,104594,0,0,0,0,0,0,0,0,0,14,54,338,621,394,316,276,171,138,188,51,248
Carroll County,966717,386646,250742,1,0,0,0,0,0,1,0,29,62,96,635,1948,2778,2444,923,917,827,500,189,128
James City County / Williamsburg,730481,907830,437525,0,0,0,0,0,0,0,1,1,3,6,18,43,55,64,39,28,15,12,12,23
Staunton,0,248068,95424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol,373813,131637,135503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roanoke,359600,925557,730151,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0
Falls Church,0,90416,46758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisa County,655856,484452,302743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland County,0,146952,75284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Culpeper County,0,1066496,443535,0,0,0,0,1,0,0,2,2,4,2,4,10,14,152,114,100,108,219,16,79
Lancaster County,0,213842,88107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig County,0,63280,37725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King William County,0,287770,113634,0,0,0,0,0,0,0,0,0,6,7,41,108,62,53,49,17,20,26,2,16
Clarke County,0,663181,123119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loudoun County,0,4079953,3039080,0,0,0,0,3,0,3,8,38,12,10,54,205,297,569,68,46,74,48,32,109
Chesterfield County,1395375,4591738,2755060,0,0,0,0,1,0,0,0,1,28,15,41,100,128,366,173,215,267,319,302,1180
Lee County,0,440653,119391,0,0,0,0,0,0,0,0,1,198,76,99,132,94,50,43,16,22,40,4,7
Winchester,4549,152379,235181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredericksburg,438284,381868,135118,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,0,1,0,1,0,9
Galax,0,86558,59087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,777421,750971,528057,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,1,0,0
Franklin,0,19649,63563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonial Heights,353985,120906,127507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,12,12,56
Fairfax County,9448432,9070873,8367192,0,0,0,0,1,3,2,1,8,25,18,54,77,165,245,76,103,119,148,88,346
Stafford County,2128865,930943,1255527,0,0,0,0,0,0,0,0,0,7,7,14,22,78,1474,50,44,68,66,92,852
Montgomery County,1191823,1125352,730562,0,0,0,0,0,0,1,1,108,11,17,116,79,237,989,35,22,6,8,4,10
Emporia,67163,93921,40035,0,0,0,0,0,0,0,0,0,2255,1322,1344,1420,943,513,447,209,177,298,54,154
Southampton County,0,715369,255243,0,0,0,0,1,0,0,0,1949,40,170,438,704,1097,894,923,618,509,772,325,1261
Essex County,0,309819,99656,0,0,0,0,0,0,0,0,0,23,90,247,747,609,470,415,209,162,257,24,165
Smyth County,666285,238414,231122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickenson County,0,173523,146452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shenandoah County,1575257,427973,259792,0,0,0,0,0,0,0,0,8,2,4,4,6,15,26,6,5,8,5,2,10
Dinwiddie County,670806,408106,289226,0,0,0,0,0,0,0,0,0,27,28,102,193,316,294,177,180,148,227,68,228
Norfolk,2516551,1917295,987987,0,0,0,0,0,0,0,0,0,2,2,7,1,4,18,3,5,2,0,7,18
Petersburg,527776,308238,263701,0,0,0,0,0,0,0,0,0,1,13,35,72,84,144,86,50,59,47,29,72
Sussex County,632118,313304,96681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Surry County,0,118109,57708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren County,552960,455430,257706,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hampton,1686705,836498,1194589,0,0,0,0,0,0,0,0,0,1,0,14,54,108,290,287,409,347,559,349,230
Tazewell County,0,768051,259997,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Richmond,1804530,1692238,1556805,0,0,0,0,0,0,0,0,4,31,6,10,37,50,83,77,72,69,62,37,111
Fauquier County,896186,1962817,724000,0,0,0,0,0,0,1,0,0,0,1,1,35,24,19,24,13,9,19,2,8
Floyd County,0,220772,139505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Radford,0,82653,120356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fluvanna County,53536,248051,191137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin County,0,924267,620851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederick County,1275740,1280389,602132,0,0,0,0,0,0,0,0,1,7,9,7,28,47,106,35,47,52,92,10,9
Scott County,0,542631,186321,0,0,0,0,0,0,0,2,2,15,13,41,110,129,152,151,76,57,160,8,24
Rockingham County / Harrisonburg,1343106,1407605,838513,0,0,0,0,0,0,0,1,28,12,6,8,6,19,46,70,80,70,152,67,29
Russell County,0,612641,177367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Roanoke County,995847,932222,527716,0,0,0,0,0,0,0,1,80,14,15,31,63,289,452,98,104,115,273,92,96
Rockbridge County / Lexington,1446251,395196,198479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Portsmouth,298816,786686,486508,0,0,0,0,0,0,0,0,0,2,3,4,23,17,24,20,9,10,9,9,17
Grayson County,0,211098,105371,0,0,0,0,0,0,0,0,6,43,26,28,26,19,9,8,2,8,3,1,0
Prince William County,3201795,3153209,3428366,0,0,0,0,1,0,2,0,9,15,87,90,171,475,677,173,235,291,483,219,938
Goochland County,863133,605966,248307,0,0,0,0,0,0,0,0,4,13,75,106,133,108,409,31,30,32,6,20,41
Pulaski County,720866,386594,302898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gloucester County,0,787188,240067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rappahannock County,0,192326,60109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giles County,0,456414,83715,0,0,0,0,0,0,0,1,20,21,98,205,220,111,120,62,31,20,16,8,6
Richmond County,0,251447,65991,0,0,0,0,0,0,0,0,0,8,6,10,16,5,5,7,0,0,1,3,3
Chesapeake,1909833,2485360,1887070,0,0,0,0,0,0,0,0,2,11,15,93,356,476,633,601,481,397,462,314,911
Greene County,0,329411,117724,0,0,0,0,0,0,1,1,0,7,9,23,40,16,28,31,14,12,16,12,16
Fairfax,0,362857,115905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesex County,0,274969,67126,0,0,0,0,0,0,0,0,0,0,0,9,10,55,50,49,27,26,50,5,0
Salem,23330,258642,149325,0,0,0,0,0,0,0,0,65,245,13,134,72,93,67,49,42,40,64,35,29
Prince Edward County,0,537948,159601,0,0,0,0,0,0,3,7,7,94,91,243,365,297,235,203,104,89,74,45,92
Henry County,0,999221,425433,0,0,0,0,0,0,0,0,11,4,3,7,17,27,33,2,1,1,2,1,1
Powhatan County,0,615700,310920,0,0,0,0,0,0,0,0,0,0,0,2,22,85,135,83,74,86,44,24,95
Pittsylvania County,0,1087339,625178,0,0,0,0,0,0,2,6,4,74,43,100,164,184,204,54,28,38,40,34,107
Patrick County,0,266953,164616,0,0,0,0,0,0,0,5,8,30,29,31,41,36,15,15,10,6,9,9,17
Halifax County,0,694313,317487,0,0,0,0,0,0,0,0,0,24,19,32,38,23,43,38,28,22,22,9,40
Greensville County,614780,129827,111681,0,0,0,0,0,0,1,0,0,30,19,23,34,20,12,11,7,8,4,2,10
Henrico County,3693220,1921862,3512891,0,0,0,0,0,1,1,0,1,37,26,95,206,366,982,214,181,140,103,109,155
Hanover County,2544057,1033717,1166691,0,0,0,0,0,0,0,0,2,8,6,21,33,70,388,10,29,66,59,79,334
Prince George County,689429,535253,348991,0,0,0,0,0,0,0,0,0,3,4,22,24,53,91,28,47,33,29,22,63
Albemarle County,1166890,1615120,914351,0,0,0,0,1,0,0,0,4,17,17,57,127,213,498,112,89,110,75,72,260
Accomack County,0,877704,303599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amelia County,0,307104,173913,0,0,0,0,0,0,0,0,0,0,2,58,182,163,185,225,154,103,208,27,136
Alleghany County / Covington,478344,195016,130119,0,0,0,0,0,0,0,0,0,3,9,14,19,23,21,1,3,3,0,1,6
Amherst County,0,795130,206253,0,0,0,0,0,0,0,0,16,24,11,54,274,558,457,341,245,199,383,84,158
Suffolk,357531,2025091,564092,0,0,0,0,0,0,1,0,0,3,107,178,201,221,253,222,164,128,152,27,45
Lynchburg,0,1168138,553246,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,0,0,1,0,0
