court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
King George County,0,780087,91893,0,0,0,0,0,0,0,1,2,8,5,4,20,32,156,112,179,249,354,147,614
Highland County,0,50759,22141,0,0,0,0,24,13,0,2,20,104,22,32,10,9,35,7,2,5,21,0,0
Isle of Wight County,0,834397,354506,0,0,0,0,1,1,0,0,1,6,11,103,253,301,508,285,225,185,129,60,141
King & Queen County,0,219301,68309,0,0,0,0,1,0,0,0,0,4,11,149,171,139,212,81,64,75,55,23,62
Northumberland County,0,194853,107435,0,0,0,0,0,1,0,0,0,3,10,46,27,36,62,16,10,12,10,1,12
Appomattox County,0,330339,137053,0,0,0,0,0,0,0,2,1,3,2,13,6,6,13,17,7,9,8,4,18
Northampton County,0,655714,91097,0,0,0,0,0,1,2,1,6,4,0,12,41,284,1919,1228,1258,1408,1859,427,2419
Arlington County,1404447,1673086,1213450,0,0,0,0,0,0,1,1,148,9,2,7,30,36,177,73,133,146,389,105,994
Orange County,0,605972,204625,0,0,0,0,0,0,0,1,7,27,3,16,22,73,358,192,219,305,276,102,430
Augusta County,1952156,920406,612380,0,0,0,0,0,0,0,11,425,57,64,138,107,97,140,46,40,33,62,8,19
Nottoway County,0,379926,197286,0,0,0,0,0,0,0,0,1,2,12,63,61,62,75,50,45,35,24,11,27
Bath County,0,90266,43278,0,0,0,0,0,1,3,7,16,39,28,47,16,19,27,8,10,14,16,0,7
Bedford County / Bedford,0,1212475,648261,0,0,0,0,0,0,1,0,10,5,10,39,49,48,105,67,72,53,53,26,93
Page County,0,327732,142457,0,0,0,0,0,0,0,0,12,22,53,191,186,137,276,84,72,66,117,1,5
Martinsville,0,109019,126378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newport News,1719617,1590411,1055448,1,0,0,0,0,0,0,2,2,3,1,7,12,6,54,33,27,46,38,27,120
Charlottesville,6336,292199,294572,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Beach,1833171,2056113,3670950,0,0,0,0,0,0,0,0,2,64,34,36,67,125,577,378,677,834,1518,624,3955
Hopewell,109483,148864,132159,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Brunswick County,461134,354334,208045,0,0,0,0,0,0,0,0,2,39,99,749,678,658,869,420,343,333,330,80,510
Buchanan County,0,323191,276911,0,0,0,0,0,0,0,0,0,4,15,47,38,22,53,15,18,16,16,3,2
Bland County,601994,65443,67433,0,0,0,0,0,0,0,0,0,6,5,9,6,7,27,8,15,9,19,7,55
Nelson County,46611,563293,94483,0,0,0,0,0,0,0,0,1,2,0,8,3,9,14,7,9,6,8,3,9
Botetourt County,1079806,658834,232508,0,0,0,0,0,0,0,2,14,24,28,99,141,190,283,99,107,115,93,51,157
New Kent County,1263526,373078,106761,0,0,0,0,0,0,0,1,2,14,8,78,106,110,148,88,58,78,56,26,93
Buckingham County,0,300681,140677,0,0,0,0,0,0,0,0,1,17,28,123,132,109,158,64,64,44,51,6,34
Buena Vista,0,34371,24346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Waynesboro,110826,147868,148661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danville,0,694707,251531,0,0,0,0,0,0,0,0,1,1,4,0,4,1,3,0,0,2,0,2,4
York County / Poquoson,750135,1032260,456107,0,0,0,0,0,0,0,0,0,2,10,30,32,29,57,33,25,30,30,13,47
Wise County / Norton,0,827010,344125,0,0,0,0,1,0,0,2,9,2,4,33,72,95,319,141,141,134,277,9,68
Wythe County,1537890,324610,231281,0,0,0,0,0,0,0,0,7,19,3,11,6,7,30,4,6,8,9,3,12
Washington County,1040331,589109,419837,0,0,0,0,2,1,3,0,44,126,43,40,45,27,61,18,29,15,23,2,21
Westmoreland County,0,265125,132365,0,0,0,0,0,1,0,0,0,7,11,122,139,123,178,74,49,67,60,7,39
Mathews County,0,144023,43023,0,0,0,0,0,0,0,0,0,0,1,7,22,40,66,17,25,10,11,2,4
Spotsylvania County,1271547,1245574,1131934,0,0,0,0,0,0,0,0,4,1,3,13,15,30,126,88,72,72,57,29,124
Mecklenburg County,478335,626531,373701,0,0,0,0,0,1,0,1,2,60,72,165,158,147,305,165,148,142,122,39,227
Lunenburg County,0,149061,112361,0,0,0,0,0,0,0,0,0,11,20,95,70,48,70,28,24,14,18,0,2
Madison County,0,416808,91678,0,0,0,0,0,0,0,0,0,1,0,9,20,36,144,87,84,104,76,40,159
Caroline County,1482355,595460,550987,0,0,0,1,0,0,0,0,5,32,3,73,237,303,752,404,303,368,454,57,432
Campbell County,0,1133699,526941,0,0,0,0,0,0,0,0,6,13,10,61,70,67,113,41,37,37,34,12,23
Charles City County,0,103995,70699,0,0,0,0,0,0,0,0,0,3,14,48,48,44,37,15,23,14,17,6,22
Charlotte County,0,257810,104594,0,0,0,0,0,0,0,0,0,1,5,28,19,15,34,14,9,11,13,3,18
Carroll County,966717,386646,250742,0,0,0,0,1,0,0,0,1,6,18,45,60,58,136,59,42,39,33,6,14
James City County / Williamsburg,730481,907830,437525,0,0,0,0,0,0,0,0,1,0,0,5,20,27,67,39,43,32,23,14,39
Staunton,0,248068,95424,0,0,0,0,0,0,0,0,3,0,0,1,1,3,5,0,0,3,0,0,1
Bristol,373813,131637,135503,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1
Roanoke,359600,925557,730151,0,0,0,0,0,1,0,0,46,76,24,39,74,130,296,183,173,180,130,54,174
Falls Church,0,90416,46758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisa County,655856,484452,302743,0,0,0,0,0,0,0,0,3,13,4,37,41,19,46,22,19,17,18,7,24
Cumberland County,0,146952,75284,0,0,0,0,0,0,0,0,0,2,15,155,107,88,122,39,46,49,41,4,44
Culpeper County,0,1066496,443535,0,0,0,0,0,0,0,1,2,1,0,2,7,24,136,62,54,55,115,7,53
Lancaster County,0,213842,88107,0,0,0,0,0,0,0,0,0,2,21,46,15,21,46,19,12,17,19,5,11
Craig County,0,63280,37725,0,0,0,0,0,0,0,0,46,0,5,17,8,9,22,1,4,5,8,1,6
King William County,0,287770,113634,0,0,0,0,0,0,0,1,0,1,1,63,49,34,78,24,24,21,18,5,21
Clarke County,0,663181,123119,0,0,0,0,0,0,0,2,0,2,0,2,7,21,470,244,235,392,749,112,533
Loudoun County,0,4079953,3039080,0,0,0,0,0,0,0,5,53,15,12,24,65,106,411,251,266,318,707,233,1085
Chesterfield County,1395375,4591738,2755060,0,0,0,0,0,0,1,0,1,4,1,12,12,29,167,79,92,86,131,73,352
Lee County,0,440653,119391,0,0,0,0,0,0,0,0,0,0,0,3,6,9,54,15,28,27,23,0,9
Winchester,4549,152379,235181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fredericksburg,438284,381868,135118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galax,0,86558,59087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria,777421,750971,528057,0,0,0,0,0,0,0,0,2,1,1,2,2,2,12,7,11,10,55,10,22
Franklin,0,19649,63563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colonial Heights,353985,120906,127507,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,36,44,37,41,39,126
Fairfax County,9448432,9070873,8367192,0,0,0,0,14,0,18,13,62,61,32,65,111,180,1198,620,1090,1532,4537,1901,13334
Stafford County,2128865,930943,1255527,0,0,0,0,0,0,0,2,2,1,3,7,12,23,126,68,67,65,82,59,132
Montgomery County,1191823,1125352,730562,0,0,0,0,1,0,0,0,66,38,10,24,27,34,95,47,43,42,70,28,62
Emporia,67163,93921,40035,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Southampton County,0,715369,255243,0,0,0,0,0,0,0,0,82,4,2,21,45,138,99,50,33,41,36,22,63
Essex County,0,309819,99656,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,1,2,4,0,1,2
Smyth County,666285,238414,231122,0,0,0,0,0,0,0,1,4,15,18,9,13,5,8,6,5,6,5,1,8
Dickenson County,0,173523,146452,0,0,0,0,0,0,0,0,2,53,40,40,18,9,6,16,4,12,2,2,6
Shenandoah County,1575257,427973,259792,0,0,0,0,0,0,0,0,47,18,43,84,49,52,71,31,21,26,29,5,26
Dinwiddie County,670806,408106,289226,0,0,0,0,0,0,0,1,0,18,20,42,61,50,64,35,36,23,21,5,36
Norfolk,2516551,1917295,987987,0,0,0,0,0,0,0,1,1,3,7,1,16,6,171,102,179,223,267,275,1529
Petersburg,527776,308238,263701,0,0,0,0,0,0,0,0,1,2,9,26,29,44,304,243,266,315,463,259,1246
Sussex County,632118,313304,96681,0,0,0,0,0,0,0,0,0,0,2,368,443,333,553,208,214,172,156,36,243
Surry County,0,118109,57708,0,0,0,0,0,0,0,0,0,1,2,65,83,58,52,25,21,17,15,4,2
Warren County,552960,455430,257706,0,0,0,0,0,0,0,0,18,2,1,6,6,15,73,23,34,24,47,6,47
Hampton,1686705,836498,1194589,0,0,0,0,0,0,1,0,0,4,13,46,51,57,151,106,89,76,64,58,54
Tazewell County,0,768051,259997,0,0,0,0,0,1,0,0,3,48,30,165,160,92,179,68,76,64,117,3,31
Richmond,1804530,1692238,1556805,0,0,0,0,0,0,0,2,1,88,8,23,84,54,388,210,229,208,285,254,845
Fauquier County,896186,1962817,724000,0,0,0,0,0,1,0,0,15,1,2,4,21,31,497,365,368,402,1065,66,465
Floyd County,0,220772,139505,0,0,0,0,0,0,0,0,1,1,12,99,65,56,100,21,31,30,17,6,19
Radford,0,82653,120356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Fluvanna County,53536,248051,191137,0,0,0,0,0,0,0,0,0,19,18,55,39,40,55,19,23,17,18,10,29
Franklin County,0,924267,620851,0,0,0,0,0,0,0,0,22,1,6,9,47,43,124,97,121,125,202,50,188
Frederick County,1275740,1280389,602132,0,0,0,0,0,0,0,0,18,47,19,44,51,121,900,280,302,275,504,73,232
Scott County,0,542631,186321,0,0,0,0,0,0,0,0,1,1,11,26,56,44,96,40,29,44,78,7,25
Rockingham County / Harrisonburg,1343106,1407605,838513,0,0,0,0,0,0,1,1,42,26,65,186,239,203,448,202,183,159,137,46,67
Russell County,0,612641,177367,0,0,0,0,0,0,1,0,0,5,29,134,115,130,319,108,100,114,209,15,91
Roanoke County,995847,932222,527716,0,0,0,0,0,0,0,0,5,8,2,20,32,28,99,42,40,31,37,13,6
Rockbridge County / Lexington,1446251,395196,198479,0,0,0,0,0,0,0,0,20,61,84,147,109,93,258,98,117,175,467,9,381
Portsmouth,298816,786686,486508,0,0,0,0,0,0,0,0,0,0,4,5,22,61,152,119,113,91,77,53,199
Grayson County,0,211098,105371,0,0,0,0,0,0,0,0,0,1,2,8,3,7,14,8,3,0,5,2,5
Prince William County,3201795,3153209,3428366,0,0,0,0,0,0,1,1,3,8,1,3,22,47,317,286,281,308,320,236,841
Goochland County,863133,605966,248307,0,0,0,0,0,0,0,0,0,8,8,29,41,50,88,32,30,26,25,20,39
Pulaski County,720866,386594,302898,0,0,0,0,0,0,0,0,34,18,43,107,60,46,95,27,24,18,20,0,2
Gloucester County,0,787188,240067,0,0,0,0,0,0,1,1,0,5,7,15,45,99,259,148,149,169,204,34,194
Rappahannock County,0,192326,60109,0,0,0,0,0,0,0,0,1,0,0,3,14,40,279,151,165,172,331,4,162
Giles County,0,456414,83715,0,0,0,0,0,0,0,1,137,5,32,168,105,86,299,128,87,69,77,20,40
Richmond County,0,251447,65991,0,0,0,0,0,0,0,0,0,0,6,49,41,46,74,28,18,13,16,6,17
Chesapeake,1909833,2485360,1887070,0,0,0,0,0,0,0,0,0,7,3,15,45,62,230,162,167,176,122,102,373
Greene County,0,329411,117724,0,0,0,0,0,0,0,0,1,6,17,27,36,46,86,41,32,38,21,23,45
Fairfax,0,362857,115905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesex County,0,274969,67126,0,0,0,0,0,0,0,0,0,0,0,0,24,26,33,19,12,21,15,0,5
Salem,23330,258642,149325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Prince Edward County,0,537948,159601,0,0,0,0,0,0,0,1,3,10,9,24,33,28,39,16,30,13,16,10,27
Henry County,0,999221,425433,0,0,0,0,0,0,1,0,66,17,2,17,31,66,44,9,19,15,42,5,3
Powhatan County,0,615700,310920,0,0,0,0,0,0,0,0,0,5,4,39,197,196,377,180,128,125,85,41,124
Pittsylvania County,0,1087339,625178,0,1,0,0,0,0,0,0,5,75,57,163,157,126,237,87,82,60,67,24,104
Patrick County,0,266953,164616,0,0,0,0,0,0,1,2,13,8,10,49,30,51,45,16,14,11,19,3,15
Halifax County,0,694313,317487,0,0,0,0,1,0,0,0,1,12,38,128,169,155,352,114,126,172,237,43,399
Greensville County,614780,129827,111681,0,0,0,0,0,0,0,2,2,76,107,236,219,195,243,130,106,91,87,17,163
Henrico County,3693220,1921862,3512891,0,0,0,0,0,1,0,1,0,17,7,26,37,71,423,224,245,247,285,282,659
Hanover County,2544057,1033717,1166691,0,0,0,0,0,0,0,0,0,4,3,9,17,16,62,20,21,26,37,22,136
Prince George County,689429,535253,348991,0,0,0,0,0,0,0,0,0,4,9,62,96,126,200,154,98,83,80,34,89
Albemarle County,1166890,1615120,914351,0,0,1,0,0,0,2,0,8,9,7,21,39,83,174,85,95,63,76,43,113
Accomack County,0,877704,303599,0,0,0,0,0,0,0,0,6,4,1,26,69,84,329,145,114,119,94,29,170
Amelia County,0,307104,173913,0,0,0,0,0,0,0,0,0,1,2,61,79,75,109,49,30,45,29,12,52
Alleghany County / Covington,478344,195016,130119,0,0,0,0,0,0,0,0,2,11,5,9,2,4,7,1,1,0,4,0,2
Amherst County,0,795130,206253,0,0,0,0,0,0,0,1,9,3,6,53,86,120,182,69,64,53,66,14,51
Suffolk,357531,2025091,564092,0,0,0,0,0,0,0,1,0,1,3,12,11,23,47,15,23,19,9,7,22
Lynchburg,0,1168138,553246,0,0,0,0,0,0,0,0,2,1,3,0,4,4,123,159,121,99,77,38,96
