court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
King George County,0,780087,91893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland County,0,50759,22141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Wight County,0,834397,354506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King & Queen County,0,219301,68309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northumberland County,0,194853,107435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Appomattox County,0,330339,137053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northampton County,0,655714,91097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington County,1404447,1673086,1213450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange County,0,605972,204625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augusta County,1952156,920406,612380,0,0,0,0,0,0,1,10,142,258,47,76,68,58,26,11,9,8,3,3,0
Nottoway County,0,379926,197286,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bath County,0,90266,43278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford County / Bedford,0,1212475,648261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Page County,0,327732,142457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinsville,0,109019,126378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newport News,1719617,1590411,1055448,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Charlottesville,6336,292199,294572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Beach,1833171,2056113,3670950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopewell,109483,148864,132159,0,0,0,0,0,0,0,0,0,1,1894,2419,3184,2091,880,612,302,265,315,120,448
Brunswick County,461134,354334,208045,1,0,0,0,0,1,0,0,6,2268,420,952,1202,791,727,701,375,345,335,225,759
Buchanan County,0,323191,276911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bland County,601994,65443,67433,0,0,0,0,0,0,0,0,41,1164,1180,633,975,1277,339,207,153,150,192,86,246
Nelson County,46611,563293,94483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botetourt County,1079806,658834,232508,0,0,1,0,0,0,4,20,128,1503,13,17,70,82,174,196,152,108,67,71,174
New Kent County,1263526,373078,106761,0,0,0,0,0,0,0,1,3,168,21,21,58,46,77,104,84,84,90,88,294
Buckingham County,0,300681,140677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buena Vista,0,34371,24346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waynesboro,110826,147868,148661,0,0,0,0,0,0,0,4,67,12,7,10,18,13,13,7,5,4,8,2,1
Danville,0,694707,251531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York County / Poquoson,750135,1032260,456107,0,0,0,0,0,0,0,0,1,28,20,12,26,21,17,8,8,2,5,6,2080
Wise County / Norton,0,827010,344125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wythe County,1537890,324610,231281,0,0,0,27,1,4,0,25,791,8143,14,43,82,128,308,265,292,397,430,354,871
Washington County,1040331,589109,419837,1,0,0,0,7,4,3,59,668,7152,59,44,26,27,127,188,149,132,81,87,190
Westmoreland County,0,265125,132365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathews County,0,144023,43023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotsylvania County,1271547,1245574,1131934,0,0,0,0,0,0,0,0,2,449,1,8,10,29,91,100,104,89,81,87,719
Mecklenburg County,478335,626531,373701,0,0,0,0,0,1,6,1,73,520,63,158,251,228,227,231,128,105,118,70,276
Lunenburg County,0,149061,112361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,0,416808,91678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caroline County,1482355,595460,550987,0,0,0,0,0,0,0,0,2,166,14,29,49,58,65,70,73,59,60,63,248
