fips,Locality,9,10,11,12,13,14,Average
595,Emporia,-0.1,11.1,11.1,10.8,10.1,9.4,8.7
175,Southampton County,11.0,-0.1,0.2,0.6,0.9,2.2,2.5
057,Essex County,-0.1,0.0,0.3,0.9,2.6,3.0,1.1
037,Charlotte County,-0.1,-0.1,0.2,1.6,2.6,2.2,1.1
