court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
King George County,0,780087,91893,0,0,0,0,0,0,0,0,0,2,1,3,7,5,32,28,23,39,24,23,89
Highland County,0,50759,22141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Wight County,0,834397,354506,0,0,0,0,0,0,0,0,1,3,8,39,89,74,190,124,73,64,45,38,74
King & Queen County,0,219301,68309,0,0,0,0,0,0,0,0,0,3,11,36,36,22,43,14,14,17,9,8,15
Northumberland County,0,194853,107435,0,0,0,0,0,0,0,0,0,1,13,58,48,35,74,20,20,17,26,5,14
Appomattox County,0,330339,137053,0,0,0,0,0,0,0,0,0,2,0,0,4,6,25,8,11,8,16,6,23
Northampton County,0,655714,91097,0,0,0,0,0,0,0,0,0,0,0,0,1,5,661,549,616,666,1122,96,1433
Arlington County,1404447,1673086,1213450,0,0,0,0,0,1,0,1,9,12,6,6,19,53,132,118,113,96,192,111,555
Orange County,0,605972,204625,0,0,0,0,0,1,1,0,0,7,1,2,7,18,76,46,52,58,56,48,116
Augusta County,1952156,920406,612380,0,0,0,1,0,1,2,10,643,35,28,64,69,92,89,25,21,24,33,7,13
Nottoway County,0,379926,197286,0,0,0,0,0,0,0,0,0,0,4,9,4,9,11,5,5,1,3,2,3
Bath County,0,90266,43278,0,0,0,0,2,0,1,2,11,6,20,31,22,17,30,17,18,23,37,1,6
Bedford County / Bedford,0,1212475,648261,0,0,0,0,0,0,0,0,1,0,1,9,12,22,100,47,34,33,30,23,74
Page County,0,327732,142457,0,0,0,0,0,0,0,0,3,1,1,9,9,7,41,4,15,6,4,2,1
Martinsville,0,109019,126378,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,6,6,5,8,0,1
Newport News,1719617,1590411,1055448,0,0,0,0,0,0,1,1,0,13,4,29,92,90,237,190,181,135,107,88,247
Charlottesville,6336,292199,294572,0,0,0,0,0,0,0,0,0,7,0,2,3,6,14,11,6,4,7,3,7
Virginia Beach,1833171,2056113,3670950,0,0,0,0,2,1,0,0,4,5,11,41,193,247,489,276,247,237,170,119,529
Hopewell,109483,148864,132159,0,0,0,0,0,0,0,0,0,4,2,3,5,8,17,18,5,8,7,9,5
Brunswick County,461134,354334,208045,0,0,0,0,0,0,0,0,0,0,2,0,7,45,25,22,21,13,20,3,23
Buchanan County,0,323191,276911,0,0,0,0,0,0,0,0,0,8,7,15,11,9,16,9,8,6,11,3,4
Bland County,601994,65443,67433,0,0,0,0,0,0,0,0,0,0,3,4,0,6,6,3,2,2,5,0,4
Nelson County,46611,563293,94483,0,0,0,0,0,0,0,0,1,1,0,18,27,55,121,42,47,34,50,24,48
Botetourt County,1079806,658834,232508,0,0,0,0,0,0,0,0,3,6,9,29,31,27,44,25,30,21,16,11,57
New Kent County,1263526,373078,106761,0,0,0,0,0,0,0,0,1,6,15,42,53,30,88,40,25,28,34,7,52
Buckingham County,0,300681,140677,0,0,0,0,0,0,0,0,2,0,7,9,7,9,20,6,9,6,5,3,5
Buena Vista,0,34371,24346,0,0,0,0,0,0,0,0,0,3,7,3,8,8,9,2,4,5,1,2,4
Waynesboro,110826,147868,148661,0,0,0,0,0,0,0,0,3,0,0,1,1,4,9,7,3,4,4,4,1
Danville,0,694707,251531,0,0,0,0,0,0,3,0,91,116,27,41,87,108,108,50,61,47,42,23,40
York County / Poquoson,750135,1032260,456107,0,0,0,0,0,1,0,1,0,3,22,34,31,38,107,92,77,87,68,25,87
Wise County / Norton,0,827010,344125,0,0,0,0,0,0,0,0,4,0,0,9,2,5,20,5,10,14,42,16,45
Wythe County,1537890,324610,231281,0,0,0,0,1,1,1,0,0,6,1,0,2,5,16,3,3,2,4,2,2
Washington County,1040331,589109,419837,0,0,0,0,8,0,2,0,65,303,36,39,51,101,68,34,10,11,24,1,15
Westmoreland County,0,265125,132365,0,0,0,0,0,1,0,0,0,0,3,40,50,63,74,28,23,25,19,2,11
Mathews County,0,144023,43023,0,0,0,0,0,0,0,0,0,0,0,3,7,8,13,10,2,5,3,1,3
Spotsylvania County,1271547,1245574,1131934,0,0,0,0,0,0,0,0,1,1,4,18,20,44,143,87,81,104,71,49,168
Mecklenburg County,478335,626531,373701,0,0,0,0,0,0,0,0,0,1,6,9,2,1,12,4,6,11,5,5,18
Lunenburg County,0,149061,112361,0,0,0,0,0,0,0,0,0,2,6,17,7,14,58,17,29,30,39,2,5
Madison County,0,416808,91678,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,6,4,1,4,3,2
Caroline County,1482355,595460,550987,0,0,0,0,0,0,0,1,4,4,2,24,42,67,115,59,66,58,49,23,64
Campbell County,0,1133699,526941,0,0,0,0,0,0,0,0,2,10,3,19,24,22,67,29,32,32,55,11,62
Charles City County,0,103995,70699,0,0,0,0,0,0,0,0,0,1,6,32,36,22,19,15,16,13,5,2,14
Charlotte County,0,257810,104594,0,0,0,0,0,0,0,0,0,1,2,5,4,1,3,0,3,4,1,1,6
