court,interstate,primary,secondary,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Carroll County,966717,386646,250742,0,0,0,0,0,0,0,0,0,1,3,3,16,14,44,25,27,29,44,5,10
James City County / Williamsburg,730481,907830,437525,0,0,0,0,0,0,0,0,3,11,7,50,91,102,172,75,49,48,42,25,57
Staunton,0,248068,95424,0,0,0,0,0,0,0,0,4,1,0,5,2,0,7,1,2,2,1,0,1
Bristol,373813,131637,135503,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Roanoke,359600,925557,730151,0,0,0,0,0,0,0,0,2,1,0,1,2,3,13,2,1,1,3,1,6
Falls Church,0,90416,46758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisa County,655856,484452,302743,0,0,0,0,0,2,0,0,0,12,15,26,19,18,39,6,11,10,20,10,12
Cumberland County,0,146952,75284,0,0,0,0,0,0,0,0,0,2,24,62,34,14,19,9,4,6,7,1,4
Culpeper County,0,1066496,443535,0,0,0,0,0,0,0,0,1,0,4,9,1,25,74,26,46,62,99,7,85
Lancaster County,0,213842,88107,0,0,0,0,0,0,0,0,0,0,5,24,20,9,25,3,2,3,2,0,2
Craig County,0,63280,37725,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,1,2,1,0
King William County,0,287770,113634,0,0,0,0,0,0,0,0,0,4,6,35,25,32,58,22,29,29,12,20,35
Clarke County,0,663181,123119,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43,20,23,14,22,5,22
Loudoun County,0,4079953,3039080,0,0,0,0,0,0,0,3,21,17,11,30,47,124,254,171,190,148,245,139,576
Chesterfield County,1395375,4591738,2755060,0,0,0,0,0,0,0,0,0,18,10,28,76,120,582,288,262,257,258,135,454
Lee County,0,440653,119391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3
Winchester,4549,152379,235181,0,0,0,0,0,0,1,0,0,1,0,15,19,12,12,11,5,3,1,0,7
Fredericksburg,438284,381868,135118,0,0,0,0,0,0,0,0,0,1,0,0,9,14,24,18,13,13,14,3,12
Galax,0,86558,59087,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,8,9,2,5,4,4
Alexandria,777421,750971,528057,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,6,0,3,3,1,2
Franklin,0,19649,63563,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Colonial Heights,353985,120906,127507,0,0,0,0,0,0,0,0,0,0,1,2,8,5,5,1,3,2,2,2,6
Fairfax County,9448432,9070873,8367192,0,0,0,0,0,0,1,1,2,13,11,27,50,84,377,193,268,234,324,343,1171
Stafford County,2128865,930943,1255527,0,0,0,0,0,3,1,0,6,13,4,10,16,32,166,99,124,127,232,177,417
Montgomery County,1191823,1125352,730562,0,0,0,0,0,0,0,0,5,3,2,4,6,8,13,10,10,8,10,7,10
Emporia,67163,93921,40035,0,0,0,0,0,0,0,0,0,81,62,73,55,44,71,32,15,16,8,2,21
Southampton County,0,715369,255243,0,0,0,0,0,0,0,3,56,28,20,39,19,25,26,10,14,9,6,8,7
Essex County,0,309819,99656,0,0,0,0,0,0,0,0,0,1,5,26,23,30,53,28,35,41,31,2,19
Smyth County,666285,238414,231122,0,0,0,0,0,0,0,0,0,6,8,9,15,8,15,7,4,3,13,0,9
Dickenson County,0,173523,146452,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,3,2,2,1,1,3
Shenandoah County,1575257,427973,259792,0,0,0,0,0,0,0,0,3,7,11,15,16,20,40,10,14,9,4,3,12
Dinwiddie County,670806,408106,289226,0,0,0,0,0,0,0,0,0,1,11,35,29,15,34,16,10,9,12,8,22
Norfolk,2516551,1917295,987987,0,0,0,0,0,0,0,3,2,10,6,9,1,7,10,7,3,6,4,5,4
Petersburg,527776,308238,263701,0,0,0,0,0,0,0,0,0,5,4,25,35,49,37,28,25,34,31,12,38
Sussex County,632118,313304,96681,0,0,0,0,0,0,0,0,0,0,6,31,9,12,27,14,13,20,16,8,20
Surry County,0,118109,57708,0,0,0,0,0,0,0,0,0,2,5,10,14,14,16,10,10,7,3,1,2
Warren County,552960,455430,257706,0,0,0,0,0,0,0,0,4,1,0,2,0,1,18,7,12,8,6,2,24
Hampton,1686705,836498,1194589,0,1,0,0,1,0,0,2,0,12,140,146,302,339,392,209,171,117,110,64,105
Tazewell County,0,768051,259997,0,0,0,0,0,0,0,0,2,9,5,14,14,10,18,4,4,9,0,1,3
Richmond,1804530,1692238,1556805,0,0,0,0,0,0,0,0,0,1,2,1,1,17,83,59,84,92,144,159,612
Fauquier County,896186,1962817,724000,0,0,0,0,0,0,0,0,6,2,0,3,7,22,54,54,68,139,405,28,287
Floyd County,0,220772,139505,0,0,0,0,0,0,0,0,0,1,1,2,5,5,14,6,3,10,5,1,6
Radford,0,82653,120356,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,1,1,1,0,0,0
Fluvanna County,53536,248051,191137,0,0,0,0,0,0,0,0,1,17,10,71,41,48,65,36,30,27,18,9,28
Franklin County,0,924267,620851,0,0,0,0,0,0,0,0,1,2,5,20,39,101,51,29,29,19,19,3,28
Frederick County,1275740,1280389,602132,0,0,0,0,0,0,1,1,11,51,24,46,31,48,330,81,75,52,159,23,61
Scott County,0,542631,186321,0,0,0,0,0,0,0,0,0,4,11,12,21,48,56,42,44,48,48,1,22
Rockingham County / Harrisonburg,1343106,1407605,838513,0,0,0,0,0,0,0,0,17,24,13,28,34,37,109,41,35,33,47,31,22
Russell County,0,612641,177367,0,0,0,0,0,0,0,0,0,1,0,2,2,6,7,1,5,5,22,1,6
Roanoke County,995847,932222,527716,0,0,0,0,0,0,0,0,31,11,31,59,133,145,280,186,141,137,128,91,142
Rockbridge County / Lexington,1446251,395196,198479,0,0,0,0,0,0,0,0,1,3,6,5,11,11,22,5,10,6,6,0,6
Portsmouth,298816,786686,486508,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,0,2,2,1,0,2
Grayson County,0,211098,105371,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0
Prince William County,3201795,3153209,3428366,0,0,0,0,0,0,1,2,1,15,3,16,20,46,497,368,328,283,316,315,1219
Goochland County,863133,605966,248307,0,0,0,0,0,0,0,1,1,13,20,31,48,67,60,32,38,19,26,18,46
Pulaski County,720866,386594,302898,0,0,0,0,0,0,1,1,2,12,6,15,40,29,52,15,15,11,10,4,1
Gloucester County,0,787188,240067,0,0,0,0,0,0,0,0,0,7,11,19,29,46,124,71,65,68,47,26,64
Rappahannock County,0,192326,60109,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,3,1,5,23,0,9
Giles County,0,456414,83715,0,0,0,0,0,0,0,0,47,6,7,41,116,138,253,146,194,143,109,98,286
Richmond County,0,251447,65991,0,0,0,0,0,1,0,0,0,3,3,19,29,32,72,30,27,34,25,14,45
Chesapeake,1909833,2485360,1887070,0,0,0,0,0,0,0,0,1,54,107,308,463,301,381,253,199,169,96,67,305
Greene County,0,329411,117724,0,0,0,0,0,0,0,0,1,5,5,13,47,50,138,123,96,139,128,190,604
Fairfax,0,362857,115905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middlesex County,0,274969,67126,0,0,0,0,0,0,0,0,0,2,3,4,8,9,17,7,8,9,10,0,2
Salem,23330,258642,149325,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,3,0,1,0,2
Prince Edward County,0,537948,159601,0,0,0,0,0,0,0,0,1,6,12,41,41,76,99,101,90,67,75,34,91
Henry County,0,999221,425433,0,0,0,0,0,0,1,4,89,21,11,28,60,82,126,32,39,34,122,3,6
Powhatan County,0,615700,310920,0,0,0,0,0,0,0,0,1,0,0,2,23,55,129,64,37,56,23,18,53
Pittsylvania County,0,1087339,625178,0,0,0,0,1,0,0,2,2,41,67,110,90,89,121,56,36,39,25,14,67
Patrick County,0,266953,164616,0,0,0,0,1,1,0,5,31,5,5,7,16,51,41,17,11,22,37,4,20
Halifax County,0,694313,317487,0,0,0,0,0,0,0,0,0,6,22,52,39,34,88,23,30,41,49,7,58
Greensville County,614780,129827,111681,0,0,0,0,0,0,0,0,0,16,52,69,57,43,56,41,27,36,19,9,29
Henrico County,3693220,1921862,3512891,0,0,0,0,3,3,1,1,5,21,67,316,647,644,800,600,351,298,298,135,232
Hanover County,2544057,1033717,1166691,0,0,0,0,0,0,1,1,2,12,9,24,48,73,145,83,75,81,51,33,105
Prince George County,689429,535253,348991,0,0,0,0,0,0,0,0,0,3,17,48,109,131,217,101,108,76,119,36,98
Albemarle County,1166890,1615120,914351,0,0,0,0,0,0,0,0,8,2,2,8,16,35,82,51,46,39,38,22,83
Accomack County,0,877704,303599,1,0,0,0,0,0,0,0,0,4,0,2,14,39,361,401,489,426,438,128,420
Amelia County,0,307104,173913,0,0,0,0,0,0,0,0,0,0,0,14,9,14,22,8,8,6,2,5,5
Alleghany County / Covington,478344,195016,130119,0,0,0,0,1,0,42,1,12,33,9,11,10,10,16,7,1,5,9,1,5
Amherst County,0,795130,206253,0,0,0,0,0,0,0,0,0,3,3,9,26,22,28,15,8,12,11,4,4
Suffolk,357531,2025091,564092,0,0,0,0,1,0,1,2,2,5,12,73,65,78,185,117,74,73,100,51,112
Lynchburg,0,1168138,553246,0,0,0,0,0,0,0,0,0,2,0,0,1,1,28,17,13,24,34,91,461
